timestamp,market_cap,total_coins,avg_price,realized_price,mvrv_ratio,high,low,close
2023-11-20,733740514031.25,19548168.75,37535.0,28930.86,1.2974,37756.82,36882.53,37476.96
2023-11-22,706276207200.0,19549275.0,36128.0,28974.16,1.2469,37856.98,35670.97,37432.34
2023-11-23,731125607606.25,19550381.25,37397.0,29023.64,1.2885,37643.92,36923.86,37289.62
2023-11-24,735057724050.0,19551487.5,37596.0,29072.02,1.2932,38415.34,37261.61,37720.28
2023-11-25,736018286531.25,19552593.75,37643.0,29125.7,1.2924,37892.43,37617.42,37796.79
2023-11-26,732227403900.0,19553700.0,37447.0,29171.09,1.2837,37820.3,37162.75,37479.12
2023-11-27,725170666750.0,19554812.5,37084.0,29216.1,1.2693,37559.36,36750.13,37254.17
2023-11-29,740641310818.75,19555918.75,37873.0,29263.3,1.2942,38366.11,37612.63,37858.49
2023-11-30,739118645825.0,19557025.0,37793.0,29310.95,1.2894,38141.75,37531.14,37712.75
2023-12-01,758405655481.25,19558131.25,38777.0,29366.04,1.3205,38954.11,37629.36,38688.75
2023-12-02,770399492825.0,19559243.75,39388.0,29422.21,1.3387,39678.94,38652.59,39476.33
2023-12-04,785778631275.0,19560356.25,40172.0,29482.96,1.3625,42371.75,39978.63,41980.1
2023-12-05,816378075975.0,19561462.5,41734.0,29552.06,1.4122,44408.66,41421.15,44080.65
2023-12-06,861789841143.75,19562568.75,44053.0,29632.38,1.4867,44265.77,43478.08,43746.45
2023-12-07,846266159831.25,19563681.25,43257.0,29708.37,1.4561,44042.59,42880.65,43292.66
2023-12-09,865565763787.5,19564787.5,44241.0,29779.49,1.4856,44361.26,43627.6,43725.98
2023-12-10,856967127843.75,19565906.25,43799.0,29848.84,1.4674,44034.62,43593.29,43779.7
2023-12-11,820249426000.0,19567018.75,41920.0,29907.4,1.4017,43808.38,40234.58,41243.83
2023-12-12,808222266875.0,19568125.0,41303.0,29962.28,1.3785,42048.3,40667.56,41450.22
2023-12-14,839344165612.5,19569237.5,42891.0,30025.07,1.4285,43390.86,41767.09,43023.97
2023-12-15,834127457700.0,19570350.0,42622.0,30088.56,1.4166,43087.82,41692.97,41929.76
2023-12-16,825954596662.5,19571456.25,42202.0,30150.94,1.3997,42664.95,41723.11,42240.12
2023-12-17,822341476031.25,19572568.75,42015.0,30214.78,1.3905,42359.5,41274.54,41364.66
2023-12-18,812053314018.75,19573681.25,41487.0,30281.02,1.3701,42720.3,40530.26,42623.54
2023-12-19,823237263100.0,19574787.5,42056.0,30355.14,1.3855,43354.3,41826.34,42270.53
2023-12-20,853235177400.0,19575900.0,43586.0,30435.03,1.4321,44275.59,42223.82,43652.25
